Key,Value
Block_AlreadyBlocked,यह व्यक्ति पहले से ही ब्लाक किया जा चुका है 
Block_Self,आप स्वयं को ब्लाक नहीं कर सकते 
Buy,खरीदें 
ChangePassword_CurrentPassword,पासवर्ड 
ChangePassword_Failed,पासवर्ड परिवर्तन असफल 
ChangePassword_NewPassword,नया पासवर्ड 
ChangePassword_NewPasswordConfirm,नया पासवर्ड कन्फर्म करें 
ChangePassword_Submit,पररिवर्तित करें / बदलें 
ChangePassword_Succeeded,पासवर्ड परिवर्तन सफल
Comment,भेजें 
CommentModel_Long,कमेन्ट … कैरेक्टर से लंबा नहीं हो सकता 
CommentModel_Required,कमेन्ट आवश्यक है 
Comments_NoPermission,आप इस कमेन्ट को डिलीट करने के लिए अधिकृत नहीं हैं 
Comments_NotExists,यह कमेन्ट मौजूद नहीं है 
Common_AlreadyBanned,या अकाउंट पहले से ही प्रतिबंधित है  
Common_AndOther,और अन्य 
Common_Back,वापिस 
Common_HasBeenBlocked,इस व्यक्ति ने आपको ब्लाक किया हुआ है 
Common_HasBlocked,आपने इस व्यक्ति को ब्लाक किया हुआ है 
Common_InvalidEmailAddress,अवैध ई-मेल पता 
Common_NoConnection,अपना इंटरनेट कनेक्शन जाँच लें 
Common_NoPermission,आपको इसकी अनुमति नहीं है 
Common_NoRecord,कोई रिकार्ड नहीं 
Common_SendCredit,भेजें  
Common_UnknownError,एक अज्ञात त्रुटि घटित हुई 
Common_Unsuccessful,यह आपरेशन असफल रहा 
Common_World,विश्व 
Common_SendButton,भेजें 
Credit_Confirm,क्या आप आश्वस्त हैं ? 
Credit_NotEnough,विश्व को खरीदें 
Credit_Self,आप विश्व स्वयं को नहीं भेज सकते 
Description_Mentions_Commented_Image,ने आपकी तस्वीर पर कमेन्ट किया है 
Description_Mentions_Commented_Text,ने आपके लेखन पर कमेन्ट किया है 
Description_Mentions_Favourited_Image,ने आपकी तस्वीर को फेवरेट में ऐड किया है 
Description_Mentions_Favourited_Text,ने आपके लेखन को फेवरेट में ऐड किया है
Description_Mentions_Liked_Image,ने आपकी तस्वीर को लाईक (पसंद) किया है 
Description_Mentions_Liked_Text,ने आपके लेखन को लाईक किया है । 
Description_Mentions_Mentioned,ने आपका ज़िक्र किया 
Description_Mentions_Shared_Image,ने आपकी तस्वीर विश्व के साथ सांझा की है 
Description_Mentions_Shared_Text,ने आपका लेखन विश्व के साथ सांझा किया है 
Description_Mentions_Video_Image,ने आपकी तस्वीर में एक वीडियो ऐड किया है 
Description_Mentions_Video_Text,ने आपके लेखन में एक वीडियो ऐड किया है 
Description_Telescope_Favourited,ने फेवरेट में ऐड किया है 
Description_Telescope_Followed,ने फालो (अनुसरण)  किया है 
Description_Telescope_Liked,लाईक (पसंद)  किया 
Description_Telescope_Shared,ने विश्व के साथ शेयर (सांझा) किया 
Email_Mentioned,% username% ने आपका ज़िक्र किया है 
Email_Comment_Image,% username% ने आपकी तस्वीर पर कमेन्ट किया है 
Email_Comment_Text,% username% ने आपके लेखन पर कमेन्ट किया है 
Email_Favorited_Text,% username% ने आपके लेखन को फेवरेट में ऐड किया है 
Email_Favorited_Image,% username% ने आपकी तस्वीर को फेवरेट में ऐड किया है 
Email_Follow,% username% ने आपका अनुसरण (फालो) करना आरंभ किया है 
Email_Like_Image,% username% ने आपकी तस्वीरें लाईक (पसंद) की हैं 
Email_Like_Text,% username% ने आपका लेखन लाईक किया है 
Email_PasswordReset,आपका वर्ल्डसेल्फ पासवर्ड रीसेट हो गया है 
