Key,Value
Block_AlreadyBlocked,この方は既にブロックされた
Block_Self,自分のことがブロックできない
Buy, 買う
ChangePassword_CurrentPassword,パスワード
ChangePassword_Failed,パスワードの変更に失敗した 
ChangePassword_NewPassword,新パスワード
ChangePassword_NewPasswordConfirm,新パスワードの確認
ChangePassword_Submit,パスワードを変更する
ChangePassword_Succeeded,パスワードが変更された
Comment,送信
CommentModel_Long,コメント ... 文字よりも長くすることはできない
CommentModel_Required,コメントは必要
Comments_NoPermission,このコメントが削除することができない
Comments_NotExists,こんなコメントがない
Common_AlreadyBanned,アカウントが禁止された 
Common_AndOther, その他
Common_Back,戻る
Common_HasBeenBlocked,この方にブロックされた
Common_HasBlocked,この方をもうブロックした
Common_InvalidEmailAddress,無効なメールアドレス　
Common_NoConnection,インターネットの接続くを確認してください
Common_NoPermission,権限がない
Common_NoRecord,記録がない
Common_SendCredit,送信
Common_UnknownError,エラーが発生した
Common_Unsuccessful,不成功
Common_World,世界
Common_SendButton,送信
Credit_Confirm,確認
Credit_NotEnough,世界を買う
Credit_Self,自分に世界が送信できない
Description_Mentions_Commented_Image,あなたの写真についてコメントをした
Description_Mentions_Commented_Text,コメントであなたについて書いている
Description_Mentions_Favourited_Image,あなたの写真をお気に入りに登録した
Description_Mentions_Favourited_Text,あなたのコメントをお気に入りに登録した
Description_Mentions_Liked_Image,あなたの写真をについて「いいね」と言っている
Description_Mentions_Liked_Text,あなたの投稿について「いいね」と言っている
Description_Mentions_Mentioned,コメントであなたについて書いている
Description_Mentions_Shared_Image,あなたの写真を公開にシェアした
Description_Mentions_Shared_Text,あなたの投稿を公開にシェアした
Description_Mentions_Video_Image,あなたの写真に動画を追加した
Description_Mentions_Video_Text,あなたの投稿に動画を追加した
Description_Telescope_Favourited,お気に入った
Description_Telescope_Followed,フォローした
Description_Telescope_Liked,「いいね」と言っている
Description_Telescope_Shared,公開にシェアした
Email_Mentioned,%username% あなたについて書いている
Email_Comment_Image,%username% あなたの写真にコメントした
Email_Comment_Text,%username% あなたの投稿にコメントした
Email_Favorited_Text,%username% あなたのコメントをお気に入った
