Key,Value
Block_AlreadyBlocked,该人曾受到锁定。
Block_Self,您不能锁定自己。
Buy,购买
ChangePassword_CurrentPassword,密码
ChangePassword_Failed,密码未能被更改
ChangePassword_NewPassword,新密码
ChangePassword_NewPasswordConfirm,再次输入新密码
ChangePassword_Submit,更改
ChangePassword_Succeeded,密码已更改
Comment,发送
CommentModel_Long,意见字符长度不能超过…
CommentModel_Required,意见栏必填
Comments_NoPermission,您无权删除该条意见
Comments_NotExists,这样的意见不存在
Common_AlreadyBanned,该账户被停止使用
Common_AndOther,及其它
Common_Back,返回
Common_HasBeenBlocked,您受到该人的阻止。
Common_HasBlocked,您对该人设阻。
Common_InvalidEmailAddress,该电子邮箱无效
Common_NoConnection,请您检查您的网络连接
Common_NoPermission,您无权访问
Common_NoRecord,无登记
Common_SendCredit,发送
Common_UnknownError,有错误
Common_Unsuccessful,操作失败
Common_World,世界
Common_SendButton,发送
Credit_Confirm,您确定吗？
Credit_NotEnough,购买世界
Credit_Self,您不能发给自己世界
Description_Mentions_Commented_Image,一个用户对您的照片做了评论
Description_Mentions_Commented_Text,一个用户对您的文章做了评论
Description_Mentions_Favourited_Image,一个用户将您的照片添加到了收藏夹
Description_Mentions_Favourited_Text,一个用户将您的文章添加到了收藏夹
Description_Mentions_Liked_Image,一个用户喜欢您的照片
Description_Mentions_Liked_Text,一个用户喜欢您的文章
Description_Mentions_Mentioned,一个用户谈到您
Description_Mentions_Shared_Image,您的照片已经通过世界被分享
Description_Mentions_Shared_Text,您的文章已经通过世界被分享
Description_Mentions_Video_Image,您的照片添加了视频
Description_Mentions_Video_Text,您的文章添加了视频
Description_Telescope_Favourited,添加到收藏夹
Description_Telescope_Followed,关注
Description_Telescope_Liked,喜欢
Description_Telescope_Shared,通过世界被分享
Email_Mentioned,%username% 谈到您
Email_Comment_Image,%username% 对您的照片做了评论
Email_Comment_Text,%username% 对您的文章做了评论
Email_Favorited_Text,%username% 将您的文章添加到了收藏夹
Email_Favorited_Image,%username% 将您的照片添加到了收藏夹
Email_Follow,%username% 将您加入关注
Email_Like_Image,%username% 喜欢您的照片
Email_Like_Text,%username% 喜欢您的文章
Email_PasswordReset,您的worldself 密码被更新
Email_ResetPasswordConfirmation,如果您想更新您的worldself 密码，请您点击下面的链接。
Email_VerifiedAccountApplicationApproved,您的worldself 账户被确认。
Email_VerifiedAccountApplicationReceived,我们已经收到worldself 经审核的账户申请。为了使您的申请得到确认，请您通过%username%账户在您的推客账户发送%verifiedaccountcode%这样一个留言。
Email_Video_Text,%username%为文章添加了视频
Email_Video_Image,%username% 为照片添加了视频
Email_Welcome,"欢迎您使用worldself！ 如果注册操作未能成功，请您写邮件到support@worldself.com。"
Favourites_AlreadyAdded,该条发送已经被您添加到收藏夹
Favourites_NotAdded,该条发送未被添加到收藏夹
Feeders_Send,发送
Follow_AlreadyFollowed,该用户已经被您关注
Follow_NotFollowed,该用户不能被关注
Follow_SelfFollowWarning,您不能关注自己
Likes_AlreadyLiked,该条发送曾被喜欢
Likes_NotLiked,该条发送曾被拒绝
Logoff_Failed,操作失败
Logon_Failed,操作失败
Logon_ForgetPassword,忘记了密码
Logon_Password,密码
Logon_Register,成为会员
Logon_Remember,自动登录
Logon_SignIn,登录
Logon_SignUp,注册
Logon_VerifiedAccount,账户
Logon_UsernameOrEmail,用户名或者电子邮箱
LogonFailed,用户名或者密码错误
LogonModel_PasswordRequired,密码不能空白
LogonModel_UsernameRequired,用户名不能空白
Membership_Banned,账户被关闭
Message,发送
Message_NotDelivered,留言发送失败
Password_CharacterLong,密码字符至少要4个字符
Password_Match,密码和密码确认不能相同
Post,发送
Register_EMail,电子信箱
Register_FullName,姓名
Register_Password,密码
Register_PasswordConfirm,密码确认
Register_Submit,注册
Register_Title,注册
Register_Username,用户名
RegisterModel_EmailRequired,必须填写电子邮箱
RegisterModel_FullNameRequired,必须填写名字
RegisterModel_PasswordConfirmRequired,必须填写密码确认
RegisterModel_PasswordMismatch,密码和密码确认不能相同
RegisterModel_PasswordRequired,必须填写密码
RegisterModel_PasswordStringLength,密码字符长度最长可以是20个字符
RegisterModel_UsernameInvalid,该用户名无效
RegisterModel_UsernameRequired,必须填写用户名
Reports_AlreadyReported,该信息曾被指控
ResetPassword_Failed,该电子邮箱不存在
ResetPassword_ForgetPassword,忘记了密码
ResetPassword_Send,发送
ResetPassword_Succeeded,重新设置密码的必要信息已经发送到您的电子邮箱
ResetPassword_YourEmail,您的电子邮箱
ResetPasswordModel_InvalidEmailAdress,该电子邮箱无效
Share,分享
Spam_AlreadySpammed,该用户曾被设定为垃圾邮件发送人
Spam_Self,您不能将自己设置为垃圾邮件发送人
Spam_Spam,垃圾邮件
TextPostModel_Long,发送信息字符长度不能超过…
TextPostModel_TextRequired,不能发送空白信息
User_About,有关
User_Followers,关注人
User_Followings,关注
User_WorldHistory,世界的历史
User_InviteFriends,邀请朋友
User_NotExists,用户不存在
User_Photos,照片
User_SetProfile,编辑个人资料
User_Settings,设置
User_ShowAll,显示全部
User_Favorites,收藏夹
VerifiedAccount_ApplicationReceived,您的申请被接受，请您查看您的电子邮箱
World_CannotBeShared,这条发送无法被分享
Block_Block,锁定
Block_Unblock,锁定被解除
Settings_Language,语言
Settings_Country,国家
Settings_City,城市
Gift_Received,一个用户发送了世界
Credit_Sent,您发送了世界
Credit_Spent,您使用了世界
Camera_FromAlbum,从相册中选
Camera_TakePhoto,拍照
Common_Search,搜索
Common_Delete,删除
User_SendMessage,发送留言
Settings_BlockedList,被锁定名单
Common_Save,保存
User_ProfilePhoto,个人资料照片
User_HeaderPhoto,主题照片
User_FullName,姓名
User_FollowRequests,关注人要求
Register_AcceptTerms,我接受服务条款
Settings_ProfileOpen,公开
Settings_ProfilePrivate,隐藏
Settings_Profile,个人资料
Common_Day,天
Common_Hour,小时
Common_Minutes,分钟
Common_Seconds,秒
Common_Show,显示
Common_Logout,退出
Description_Commented,作出评论
Common_Month,月
Common_Day,日
Common_Year,年
Common_All,全部
Common_Report,投诉
VerifiedAccountForm_Title,账户申请被批准
Common_Help,帮助
