Key,Value
Block_AlreadyBlocked,antes que a pessoa em blocos
Block_Self,Faça você mesmo bloklayamazs
Buy,comprar
ChangePassword_CurrentPassword,senha
ChangePassword_Failed,Falha ao alterar senha
ChangePassword_NewPassword,nova senha
ChangePassword_NewPasswordConfirm,a nova senha novamente
ChangePassword_Submit,mudança
ChangePassword_Succeeded,senha foi alterada
Comment,enviar
CommentModel_Long,Comentários ... personagem não pode ser maior do que
CommentModel_Required,Comentários são obrigatórios
Comments_NoPermission,Você não tem permissão para excluir este comentário
Comments_NotExists,Não existe o tal comentário
Common_AlreadyBanned,Esta conta é fechada no uso
Common_AndOther,e outros
Common_Back,de volta
Common_HasBeenBlocked,você está bloqueado por essa pessoa.
Common_HasBlocked,Você tem Bloquear esta pessoa
Common_InvalidEmailAddress,Endereço de e-mail inválido
Common_NoConnection,Verifique a sua conexão com a internet
Common_NoPermission,Você não tem permissão
Common_NoRecord,Não há registros
Common_SendCredit,enviar
Common_UnknownError,Ocorreu um erro
Common_Unsuccessful,não realizada
Common_World,mundo
Common_SendButton,enviar
Credit_Confirm,Você tem certeza?
Credit_NotEnough,Compre o mundo
Credit_Self,você não pode enviar mundo para si mesmo
Description_Mentions_Commented_Image,comentou sobre a sua imagem
Description_Mentions_Commented_Text,comentou em seu artigo
Description_Mentions_Favourited_Image,adicionada a sua imagem aos favoritos
Description_Mentions_Favourited_Text,Escreva o seu adicionado aos seus favoritos
Description_Mentions_Liked_Image,como sua imagem
Description_Mentions_Liked_Text,Escreva como você
Description_Mentions_Mentioned,Ela falou sobre
Description_Mentions_Shared_Image,foi uma foto de você compartilhar com o mundo
Description_Mentions_Shared_Text,Escreva o seu compartilhada com o mundo
Description_Mentions_Video_Image,Adicionar vídeo à sua imagem tem
Description_Mentions_Video_Text,Escreva o seu vídeo acrescentado
Description_Telescope_Favourited,adicionado aos seus favoritos
Description_Telescope_Followed,seguido
Description_Telescope_Liked,desfrutado
Description_Telescope_Shared,compartilhado com o mundo
Email_Mentioned,% Username% estava falando de você
Email_Comment_Image,% Username% oficial comentou sobre
Email_Comment_Text,Digite o nome de usuário%% comentou
Email_Favorited_Text,Digite o nome de usuário%% adicionado aos seus favoritos
Email_Favorited_Image,% Username% tem uma imagem Adicionar a favoritos
Email_Follow,% Username% você começou a assistir
Email_Like_Image,% Username% como a imagem
Email_Like_Text,Escreva como% username%
Email_PasswordReset,Sua senha foi renovada worldself
Email_ResetPasswordConfirmation,Se você quer que o mundo a renovar sua senha de auto Clique nos links abaixo
Email_VerifiedAccountApplicationApproved,worldself A sua conta foi aprovado
Email_VerifiedAccountApplicationReceived,"worldself foi aprovado conta, por favor contacte-nos._x000D_ podemos aprovar o seu pedido de% username%% em desligada do twitter verifiedaccountco% a um tweet de sua conta o seu cavalo. "
Email_Video_Text,% Username% tem vídeo adicionado ao Escrever
Email_Video_Image,% Username% adicionou clipe oficial
Email_Welcome,"bem-vindo à worldself _x000D_ você não pode executar o processo de registo, por favor informe-nos em support@worldself.co ."
Favourites_AlreadyAdded,Enviar esta previamente adicionado aos seus favoritos
Favourites_NotAdded,Envie-nos seus favoritos não encontrado
Feeders_Send,enviar
Follow_AlreadyFollowed,Esta pessoa já está a ser seguido
Follow_NotFollowed,essa pessoa não é seguido
Follow_SelfFollowWarning,Você não pode assistir-se
Likes_AlreadyLiked,previamente gostou deste post
Likes_NotLiked,Envie uma mal amada anteriormente
Logoff_Failed,não realizada
Logon_Failed,não realizada
Logon_ForgetPassword,Esqueci minha senha
Logon_Password,senha
Logon_Register,inscrever-se
Logon_Remember,Lembre-me
Logon_SignIn,entrada
Logon_SignUp,registro
Logon_VerifiedAccount,conta
Logon_UsernameOrEmail,Nome de usuário ou e-mail
LogonFailed,nome de usuário ou senha incorreta
